id,mainImage,marker,locationName,address,locationLink,price,price-sqft,area-sqft,acres,link,documents,latitude,longitude,locationType,numImages,image,bedrooms
london-53,Chapel-Street.jpg,,Chapel Street,"Chapel Street, Belgravia SW1X",https://goo.gl/maps/65YhPmr5kh16MYX16,"£28,000,000","£4,134","6,773",,https://www.rokstone.com/property-for-sale-chapel-street-belgravia-london-pi-roks517.htm,,51.49999474,-0.150864826,,,,6
london-60,The-Bryanston.jpg,,The Bryanston,"The Bryanston, 55 Bryanston St, Hyde Park, London W1H 7BZ","https://www.google.com/maps/place/The+Bryanston,+Hyde+Park/@51.5138972,-0.1625862,17z/data=!3m1!4b1!4m5!3m4!1s0x487605adaf637439:0x54fbe23f5fce4ef5!8m2!3d51.5137433!4d-0.1604868",Price on Application,N/A,N/A,,https://www.wetherell.co.uk/pages/the-bryanston-hyde-park/,,51.51373691,-0.160215154,,,,?
london-63,Heathfield-House.jpg,,Heathfield House,"Heathfield House, 6 Merton Lane, London, England, N6 6NA United Kingdom",https://goo.gl/maps/Js3hpbpyzcHNfSD2A,"£40,000,000","£2,193","18,239",,https://www.sothebysrealty.com/eng/sales/detail/180-l-691-drm49y/london-en,,51.56791366,-0.155675091,,,,6
london-64,83-Addison-Rd.jpg,,83 Addison Road,"83 Addison Road, London, W14 8ED",https://goo.gl/maps/zeob7NwetvSCDGjJ8,"£45,000,000","£6,928","6,495",,N/A,"[[""Brochure"",""83 Addison Road - Brochure.pdf""]]",51.50445736,-0.211716312,,,,7
london-65,77-Addison-Road-1.jpg,,77 Addison Road,"77 Addison Road, London, W14 8EB",https://goo.gl/maps/cnWYzJa9b4MTP2ub9,"£40,000,000",N/A,N/A,,N/A,"[[""Floor Plan 1"",""77 Addison Road Floor Plan 1.jpg""],[""Floor Plan 2"",""77 Addison Road Floor Plan 2.jpg""]]",51.50227316,-0.209588971,,11,77-Addison-Road,7 to 8
london-66,2-Holland-Villas-Rd.jpg,,2 Holland Villas Road,"2 Holland Villas Road, Holland Park, London, W14 8BP",https://goo.gl/maps/N9ojLSZQNxZi3FhRA,"£37,500,000","£3,370 ","11,127",,N/A,"[[""Brochure"",""2 Holland Villas Road - Brochure.pdf""]]",51.5009687,-0.21017573,,,,7
london-67,5-Grafton-Street-1.jpg,,5 Grafton Street,"5 Grafton Street, London W1J",https://goo.gl/maps/QJZA7b9Duzkq98gp7,"£50,000,000"," £3,704 ","13,500",,N/A,"[[""Floor Plan"",""5 Grafton Street, London W1J 6JA.pdf""]]",51.50970667,-0.143654138,,10,5-Grafton-Street,9
london-68,2-Whistler-Sq.jpg,,2 Whistler Square,"2 Whistler Square, Chelsea Barracks, London SW1",https://goo.gl/maps/mQHzKpQTUUoPs5Rw6,N/A,N/A,"14,956",,N/A,"[[""Brochure"",""2 Whistler Square.pdf""]]",51.48942946,-0.154285313,,,,
london-69,2-Addison-Crescent.jpg,,2 Addison Crescent,"2 Addison Crescent, Holland Park, London W14",https://goo.gl/maps/NPNL2erbABhyGkKS9,N/A,N/A,"11,173",,N/A,"[[""Brochure"",""2 Addison Crescent - Brochure.pdf""]]",51.49972815,-0.209135902,,,,
london-70,21-Upper-Grosvenor-Street.jpg,,21 Upper Grosvenor Street,"21 Upper Grosvenor Street, Mayfair, W1",https://goo.gl/maps/R15nwB8hv7xFYX9R8,"£54,500,000"," £3,756 ","14,510",,N/A,"[[""Brochure"",""21 Upper Grosvenor Street Brochure.pdf""]]",51.51023631,-0.155669247,,,,
london-71,30-The-Little-Boltons.jpg,,30 The Little Boltons,"30 The Little Boltons, Chelsea SW10",https://goo.gl/maps/k8vMg7UjdFxKghB29,N/A,N/A,"8,705",,N/A,"[[""Brochure"",""30 The Little Boltons - Brochure.pdf""]]",51.48895994,-0.186430017,,,,
london-72,69-Avenue-Road.jpg,,69 Avenue Road,"69 Avenue Road, St. John's Wood, NW8",https://goo.gl/maps/NLaooxpjdvt9qx72A,N/A,N/A,"9,167",,N/A,"[[""Brochure"",""69 Avenue Road Brochure.pdf""]]",51.53882175,-0.170341289,,,,
london-73,33-Parkside.jpg,,33 Parkside,"33 Parkside, Wimbledon Village, SW19",https://goo.gl/maps/o6qEyMEPA9Z4ke5HA,N/A,N/A,"14,822",,N/A,"[[""Brochure"",""Wimbledon House, 33 Parkside - Brochure - 2021.pdf""]]",51.42939999,-0.223631999,,,,
